rating,ulasan,tanggal,nama_pengguna
negatif,"Min, untuk AI FACE RECOGNITION ngelag parah sama Ndak kebaca terus muka kita Kalau mau keluarin update kayak gini di test dulu, jangan langsung kayak gini Susah jadinya mau pakai aplikasi ini haduh",22 Desember 2024,Arya Putra
negatif,verifikasi email saya di blokir jkn dan verifikasi sms di nomor penerima kode otp bukan nonor milik saya padahal saya mendaftarkan nomor saya sendiri malah nomor lain yang yercantum diprofil jkn mobil. serta verifikasi wajah gagal terus. mohon segera dibantu karna saya butuh kartu kepesertaan secepatnya sebagai perlengkapan persyaratan pembuatan skck untuk pengajuan lamaran kerja sebelum lowongan ditutup,22 Januari 2025,Fathor Rozi
negatif,"Verifikasi wajah berhasil, giliran nunggu kode OTP di sms ga ada, masuk ke email no hp wajib di isi dan tetep nunggu kode OTP juga",11 Januari 2025,Lockey Za
negatif,"susah banget buat daftar, padahal sudah sesuai instruksi, setiap kali verivikasi gagal, tolong diperbaiki lagi aplikasinya",31 Januari 2025,AR
negatif,"Kenapa mobile JKN setelah diperbarui malah tidak bisa log in, kirain bakalan lebih gampang tapi malah bikin rumit .",31 Desember 2024,sinta rapita
negatif,Aplikasinya nggak bangeet sumpah udh berkali2 mo daftar dr dl SMP skrg Ndak bisa masuk..tolong di perbaiki!!!,24 Januari 2025,Qurratu Aini Balqis
negatif,"No hp udah bener dan masih aktif sesuai sama nik juga, tapi tidak bisa untuk verifikasi kode otp, gimana si programmer nya yg bikin aplikasi, cuma asal asalan ada sistem yg kurang baik harusnya di perbaiki dong",20 November 2024,Boyke Nugroho
positif,Akhirnya ada perubahan juga jadi lebih simple intinya semakin Digital dan mudah tandanya ada Kemajuan jangan sampe ketinggalan jaman,1 Januari 2025,Bambang Hartoyo
negatif,"Tolong kalau buat aplikasi yang bisa digunakan, sudaj berulang kali verifikasi wajah tetap tidak bisa",24 Desember 2024,Wahyuni Murdjo (C30018001)
positif,"kenapa semua menu terkunci semua? dan harus masuk login lagi, berulang kali masuk kok gak bisa"" juga... mau daftar gmn ini?",1 Februari 2025,Yuningsih Hertiana
positif,Perbaiki lagi buat verefekasi nya masak yang di daftarin nomor a kode nya nomor b kan aneh mana nomor nya beda lagi sama yang di pake daftar,23 Januari 2025,Rivandi 08
negatif,"Ini aplikasi gimana sih,semua gak bisa terbuka padahal saya mau berobat notifikasi offline terus, ni operator aplikasi kalok gak bisa kerja resign aja dari BPJS, masih banyak tenaga ahli yang bisa bekerja lebih baik daripada anda, kasian masyarakat Indonesia yang mau berobat🤦‍♂️",1 Februari 2025,MIRZA NURIANDHA
positif,"1 nomer hp buat 1 akun,Masuk akal gak? Kalo bikin peraturan tuh ya kira2 dan di fikir dulu lah.. daftarin buat orng tua 2 terus buat saya sendiri harus 3 nomer hp?kalo masih 1 kk tuh 1 no hp kn gk ribet payah!!! Buat yg gk bisa dpt otp isi pulsa dulu, itu kode perlu biaya min 1000",13 Januari 2025,Jefri Afria
negatif,"Kasih bintang 1 lagi soalnya gak bisa log in. Aplkasi JKN saya ini kan menyangkut 2 data penggunaan bpjs, tp datanya ilang 1. Hadehhh.. Membingungkan pengguna",31 Januari 2025,Marlita Nursanti
negatif,"Sampahhh, verifikasi wajah masa gagal terus kalah sama aplikasi pinjol. Ditambah sekarang gak bisa cek riwayat pelayanan kesehatan",25 Desember 2024,Muhammad Iqbal reza
negatif,"Banyak keluhan,tolong ditinjau ulang& diperbaiki sistemnya,masyarakat butuh kemudahan dalam pelayanan, terutama masalah kesehatan",1 Februari 2025,bertha tia
negatif,Ini gk ada mines bintangnya ya? Soalnya bete banget masa verifikasi wajah ngelag mulu padahal sinyal sama hp udh ok.,25 Desember 2024,Mici Ardila
negatif,Setelah diupdate saat awal tahun. Aplikasi ini tdk bisa login sampai hari ini 21 januari 2025!! Sdh saya chat cs sampai datang langsung ke kacab provinsi masih tdk bisa login!!,21 Januari 2025,Rizki Amelia
negatif,"Aplikasi yang belum berfungsi dengan baik, sulit untuk verifikasi wajah serta verifikasi otp yg lama dan tidak berhasil",31 Desember 2024,Dewi Monic
negatif,kirim otp nya coba tingkatin lagi jadi bisa lewat WA kudet banget sih,17 Maret 2025,Kusdiyanti Kurdi
negatif,"Sistem nya bobrok, masih banyak yg harus di perbaiki. Mempersulit warga yang tidak mengerti cara penggunaanya.",28 Januari 2025,Imam_ Praptomo23
positif,"Habis minta pembaruan versi terbaru kok malah log out sendiri,mau dilogin captchanya ngak keluar cuma muter-muter teruss!!",31 Januari 2025,Rohan Nur alan
negatif,"verifikasi kok susah amat, otp muncul ga pulsa udah ada",31 Maret 2025,ardy satrio
positif,sangat membantu dalam akses layanan kesehatan BJPS,25 April 2025,ahmad hidayaturrahman
negatif,"Tolong untuk daftar dipermudah karena tidak semua orang yang bekerja atau tempat kerja ada sinyal Telkomsel, untuk verifikasi otpnya jangan hanya menggunakan SMS saja, memangnya apa salahnya bisa menggunakan atau di kirimkan otpnya lewat WhatsApp? jaman sudah canggih dunia it canggih , ngapain harus otp SMS segala. Memangnya bakalan rugi negara kalau menggunakan otp WhatsApp, aneh!!!",16 November 2024,preman crypto
negatif,"Ini maksudnya gimana ya,saya belum pernah daftar di mobile jkn.tapi pas saya mau daftar,no hp saya udah terdaftar,minta verifikasi lewat Email gak ada Email yang masuk.maksudnya gimana ya,gak jelas banget aplikasi buatan pemerintah indonesia.gak ada manfaatnya,segala sesuatu selalu di persulit aneh.",4 November 2024,Pantang Menyerah
negatif,Ini apk susah verivikasi tau tau ada tagihan padahal tiap bulan dibayar dari perusahaaan,20 Februari 2025,muhamad ramadan
negatif,"Untuk aplikasi sekelas pemerintah, pendaftaran aplikasi sangat buruk dan ketinggalan zaman, Sistem masih mengirim otp dengan nomor SMS yang dimana harus terdapat pulsa agar pendaftar bisa menerima otp. Miris mengetahui hal ini sebagai masyarakat negara Indonesia",23 November 2024,Muhammad Hafizh arifuddin
negatif,saya mau daftar BPJS gratis tapi knp harus masukin terus autodebit? saya cari caranya di google tapi beda sama apk yg udh saya download,8 April 2025,Atik Utisah
negatif,mohon sering kali di update apk nya. di setiap buka minta di perbaruhi,15 Maret 2025,Yogi Rassib
positif,apk mobile jkn berfungsi dengan baik..,17 April 2025,Fitria 14november
negatif,mohon maaf. mengurus Kode Verifikasi nya sangat lama mungkin bisa diperbaiki lagi,21 Maret 2025,Andyana
positif,sangat mudah dan jelas untuk proses apapun,7 April 2025,Tamsir
negatif,"Kenapa ya susah mau daftar juga, udah masukin nomr hp tapi nggak ada sms ters udah 6x",17 Maret 2025,Nur Aulia
positif,Penggunaan nya mudah .dan tidak memakan waktu dalam pelayanan nya,18 Maret 2025,Popi Meinarni
negatif,mau buka menu layanan REHAB selalu keluar notif silahkan unduh versi REHAB terbaru . ini maksudnya gimna ya kan aplikasih jkn kn sudah paling terbaru yg saya unduh tapi ini menu REHAB nya kayak gini ayolah di perbaiki menunya orng mau cicil iuran malah di persulit ..,3 Februari 2025,HA AN
positif,"Kenapa tidak bisa login... Kode elcapta salah terus... Sudah mencoba clear chace, clear data, reinstal berulang kali hasilnya sama saja TIDAK BISA LOG IN. Aplikasi versi web ada/tidak??? kalau mau akses aplikasi ini lewat PC/Laptop bagaimana...???",20 November 2024,taba chanel
negatif,"Heran sama ini aplikasi, setiap kali mau di pakai selalu gangguan, sistem error, offline lah. Pdhal jaringan ok. Setiap mau daftar dan buat antrian online selalu gangguan padahal udah bela2in gadang. Sekalinya terakses tiba2 antrian penuh. Bukannya mempermudah malah dibikin makin susah. Server error terus. Jarang bisa tepat waktu kalau mau kontrol dengan antria via jkn. Selalu ada mulu gangguan dan error system. Telat dikit penuh antrian, sekalinya gadang biar dapet antrian pas dibuka error tru.",30 Juni 2024,Account Practice
negatif,"aplikasi nyusahin rakyat, otp sms aja gak masuk masuk",14 April 2025,Egy S H
negatif,"Nunggu kode verifikasi lama smpek sesi hanis, trus ngrim kode lagi nunggu lama lagi. Kebanyakan korup emng",16 Maret 2025,kelvin rikza
negatif,Untuk registrasi tidak pernah berhasil melakukan verifikasi wajah,10 Maret 2025,Mahesa Muhamad
positif,terimaksih semua semoga selalu sehat dan semakin bagus melayaninya,23 April 2025,Sih Purmar tani
positif,"Sangat membantu, karena istri selalu selalu kontrol menggunakan jkn",11 Maret 2025,Lili Suherli
negatif,"Aplikasi apaan ini, mau bikin akun saja susahnya minta ampun. Stuck di scan wajah terus. Jaringan cepat padahal pakai data + wifi, masih stuck disitu terus! Perbaiki dong sistemnya!",27 Maret 2025,Rivaldi Pramata Cita
positif,Lebih cepat di mobile jkn. Dan sangat mambantu,1 Maret 2025,Shobir 123
positif,"yg mempersulit itu verifikasi, kan aku udah bikin nih akunnya, udah bisa masuk tuh, terus kenapa harus ada verifikasi lagi? nah pas keluar apk nih, pas masuk lagi mau verifikasi gabisa euy, ini mau verifikasinya lewat mana? pencet sana sini harus verifikasi dulu, kan aku mau verifikasi tapi gatauu dimanaaaaa harus verifikasinyaaa, ih asli bikin bingung pisannn!",8 Februari 2025,Nadia
negatif,mau menanyakan lupa password dan nomor sudah ga ada malah ngelantur jawabannya,29 April 2025,Adan Satiria Malik
negatif,"Mau verifikasi nomor telepon tapi ga masuk2 kode verifikasinya, gabisa pakai cara lain, akhirnya gabisa pakai apk buat daftar rujukan",30 Desember 2024,Sedaryaldi Ali
negatif,"bukannya mempermudah ,malah mempersulit. aplikasi ngadatt",18 Maret 2025,Nur Haidir
negatif,mau nambah anggota baru udh isi data alamat sesuai ktp dan kk tpi salah terus katanya tolong isi alamat sesuai ktp anda. ini gimna tolong,3 April 2025,Anjas Wijaya
positif,sangat mudah untuk merespon perpindahan klinik,14 April 2025,Panca Nugraha
negatif,tidak pernah lancar. selalu gangguan. lemot bgt.,23 April 2025,dwi purwati
negatif,"SUDAH UPDATE VERSION TERBARU MALAH TIDAK BISA LOGIN , MUNCUL KETERANGAN NIK SALAH ! TOLONG PERBAIKI APLIKASINYA SAYA BUTUH UNTUK BUAT RUJUKAN ONLINE KE RUMAH SAKIT",3 April 2025,joko margono
negatif,"Aplikasi apa ini susah login,jawaban nya nik dan password salah padahal no nik sudah benar tolong peebaiki aplikasi nya jangan bikin susah orang",31 Januari 2025,Maman Alfan
positif,"terimakasih informasinya petugas RS ternyata harus ada pulsa dulu hehe, untuk bisa daftar, terimakasih banyak",21 Maret 2025,PAHMI ANWARI
negatif,Sering masalah servernya... Udah pakai wifi pun lelet,5 Maret 2025,Angky Eka Putra
negatif,"Lama amat keluar otp nya percobaan ke 20 kali itung dah 3 menit per 1 percobaan cape ame ne apk, g ada yg bener emng apk dari pemerintah",1 Maret 2025,Efendi Muhammad
positif,Mudah untuk di gunakan..terima kasih mobile JKN,23 April 2025,Muhamad Yunus
positif,ini kenapa susah masuk ya padahal sinyal juga bagus,8 April 2025,Rohma wati
positif,"Tolong dibaca buat BPJS. kalau bisa sistem di aplikasi lngsung terintegrasi dg sistem rumah sakit. biar gak bertele2, sdh daftar online, antrian 5, eh sampe rumah sakit antri lagi gajelas buat verifikasi, bertele2. misal sdh dafttar sntrean no.5, kasih jam juga contoh: antrean no.5 (untuk antrean no.urut 1-15) jam 8 sampai jam 9 pagi. dan seterusnya. biar pasien/pengantar nggak numpuk di pendaftaran dari pagi. tolong dibenahi lagi agar lebih efisien, efisien kerja dan efisien waktu. terimakasih",17 April 2025,subhan al muzaky
positif,Sengat membatu dan sengat memuaskan dengan adanya layanan digitalisasi Terimakasih 🙏,25 Februari 2025,Agus Ilaheryana
negatif,Ka mohon perbaikannya..itu saya mau verifikasi ko no yang dikirim otp tidak sama dengan no yang saya daftarkan..jadi otp nya gak masuk aja soalnya dikirim ke no lain,12 Februari 2025,Suri Samsuri
positif,Sangat membantu dan memudahkan dalam pendaftaran,2 Maret 2025,dhikayya0307
negatif,"Aplikasi eror,pas mau cekin aplikasi kluar,silakan login Padahal kita sudsh ambil nmr antrian.makin lambat",3 Maret 2025,Andi Sitepu
positif,"cukup membantu, cukup gampang di gunakan..",23 April 2025,Caro Nelukas
negatif,"kebanyakan disuruh update trs,lantas bagaimana kalau hpnya ram nya kecil",27 Maret 2025,Nadhira Maryam
positif,Mantab pelayanan offline maupun online sangat tanggap dan cepat,12 Maret 2025,Mohammad Khoirul Mustofa
negatif,"aplikasi tolong perbaikin donk percuma ada aplikasi JKN kalo kaga guna kalo di butuhin, udah login masa di suruh login udah bener di salahin Mulu combro",16 April 2025,Hana Fihan
positif,Alhamdulillah sangat membantu.... dalam pendaftaran online ke faakes 1 dan selanjutnya....,28 Februari 2025,widayati sunarsasi
positif,"Terimakasih MOBILE JKN aplikasinya sangat bermanfaat untuk memproses data data BPJS seperti informasi kepesertaan, perubahan data, dan daftar pelayanan kesehatan menjadi mudah dan praktis 🙏",2 Januari 2025,Rio Alghifari Rahman
positif,Ini gimana sih? Mau daftar pelayanan saja susah sekali.masa tiap mau daftar pelayanan selalu ada teks gagal terhubung ke server Mulu? Saat berhasil daftar malah dapat no undian yang besar.bukanya jadi lebih mudah malah makin ribet aja,1 Desember 2024,Tata Nugraha
positif,Pelayanan bagus cepat dan call center ramah,3 Maret 2025,Marwah Nur
negatif,"Aplikasi tidak mempermudah,vermuk gagal terus,no hp baru beli dibilang sudah digunakan orang lain,pulsa ada, internet bagus,coba hapus dan download lagi tetep ga bisa,aplikasi jangan jadi sampah kaya gini ,tolong diperbaiki supaya jadi manfaat",3 Februari 2025,Achmad Sadeli
positif,dengan media mobile jkn ini sangat membantu masyarakat untuk mengakses lebih cepat.,27 April 2025,Riski Okta Alvian
negatif,server bosok mau apa apa susah offline trus udah setahun make tetep gini gjni aja,30 April 2025,Tri Manchunian
negatif,Tolong perbaiki dipendaftaran. Kode verifikasi sangat sulit gagal terus. Walaupun sudah ganti ganti nomor telepon. Padahal sudah ada email. Sudah dapat kode tapi tetep harus pake nomer telepon. Padahal kode yang dikirimkan lewat SMS tidak muncul-muncul,30 Desember 2024,Fatkhul Qirom
negatif,"Aplikasi ngak bisa digunakan saat verifikasi wajah ,di ulang i beberapa kali ngak bisa taix",20 Januari 2025,Febri Roti
negatif,Niat ga sih mau ngasih OTP? Ditungguin ber jam jam diulang puluhan kali juga ga ngirim OTP,25 Februari 2025,ARIK VANARDHY
negatif,"Aplikasi sangat belum memadai dan tidak mempermudah , nomor hp belum pernah digunakan untuk registrasi tp tidak bisa digunakan, sudah minta tolong perbaikan data katanya lewat PANDAWA tapi respon terlalu lama,katanya diproses dalam 24 jam klo masih dijam kerja tapi ga diproses"" ,padahal saya sudah kirim berkali"" untuk perbaikan data",18 November 2024,Sabela
negatif,Disaat keluar kenapa tidak bisa masuk lagi trus saja kesalahan 1 kali 2 kali sampe ke 3 tolong diperbaiki,15 Februari 2025,Vii 13
positif,Saya Sangat terbantu dengan app ini. Walaupun ada sedikit kesulitan verifikasi bio metrik saat perubahan faskes.,2 Januari 2025,MUKHLIS
negatif,registrasi kode otp tidak terkirim terus meskipun pulsa baanyak tetap tidak masuk di coba berkali-kali setiap hari masih tidak terkirim,3 Februari 2025,Elma Sopiyansyah
negatif,"permisi, ini ga ada tim yang mau benerin verifikasi SMS nya kah? ga jadi hampir seharian. OTP nya ga masuk2, sampe saya pun harus ganti nomer karna pikirnya nomer yang bermasalah. tau2nya emang app nya yang bermasalah. plis, fix this! masalahnya, untuk sekarang pengurusannya banyak menggunakan BPJS. jadi kalo tidak berfungsi dengan baik, mending hilangkan saja POLICY baru tersebut. makasih!",11 November 2024,mikhael siegers
positif,Trimakasih JKN mobile sudah mempermudah kluarga saya untuk berobat.,28 Maret 2025,Hermawan Sepek
negatif,perbaiki verif wajah saat daftar akun jangan bikin susah pasien !,19 Maret 2025,Chepy Abdul Ghopur
positif,Sangat membantu kartu online dan perubahan data diri 💗,6 Maret 2025,Hilda oktaviani
negatif,"Aplikasi yg mempersulit, daftar verifikasi no.hp nik dan pasword awal bisa login, setelah update malah gk bisa login dengan catatan pasword dan nik salah, lalu diarahkan melalui no.hp, lah catatan no.hp juga salah, aneh bgt ni aplikasi",27 Desember 2024,Pahrudin Wungkul
positif,mantap dan lebih tingkatkan lagi pelayanan nya 👍👍👍,3 April 2025,Syafril Syarif Arief
positif,"Optimalkan kinerja dan performanya,fitur Dll,tks",2 Maret 2025,Agus Salim
negatif,"aplikasi jelek,mau verfikasi sms ga masuk2 aneh kocakkkkk",25 April 2025,Lola Ashari
positif,Sudah ada perbaikan jaringan. Kita liatlah ke depannya.,18 April 2025,Simanullang Hendrik
negatif,"Aplikasi kagak jelas udh download daftar nunggu kode verifikasi kagak masuk² sampe ganti² hp tetap aja kagak masuk verifikasi, nomor prabayar tetap aja kagak masuk² kode otp yang bener lah aplikasi babi bikin kesel aja",12 Maret 2025,Sabattino Rantung
negatif,"Bertele tele, giliran udah di ikutin petunjuknya, silahkan coba lagi. Begitu terus dari hari ke hari. Ke cabang suruh online. Ngotak gak? Waktu bukan cuma buat ngurusin jkn doang!",23 Februari 2025,Zevi Anzoradi
negatif,"Aplikasi BUSUK,daftar aja gak bisa,mulai vermuk,otp sms gak masuk..",21 Januari 2025,Arip Toni
positif,Bagus semakin ditingkat aja pelayanannya dan fiturnya,7 Maret 2025,De Dik
negatif,"Sampai saat ini saya belum terima fisik kartu nya, karna itu mengunakan app ini sangat terbantu, tapi sekarang menyusahkan login gak bisa pakai email saat awal mendaftar app, saat di butuhkan tidak bisa login email, sebelum update pikirkan dulu fungsi utama dan kegunaannya, seharusnya account yg dulu sudah ada di sinkronkan dengen no ktp atau nik usernya,agar yg sudah terdaftar msh dapat login tanpa email. Jadi gimna min user yg dulu sudah terdaftar cara loginnya, tanpa hrs mendaftar lagi..!!!",12 September 2021,Bet Mata
negatif,Aplikasi tolol di update malah ngga bisa log in,12 Maret 2025,Mutiara sukma putri Sanjaya
negatif,"Hilangkan aja aplikasi ini, niat kalian bukan utk bantu masyarakat, negara byk uang nyewa programer buat aplikasi aja gk bisa, apa"" Duit, verifikasi nunggu kiamat baru bisa kayaknya, udh hilangkan aja aplikasi ini",9 Januari 2025,Muhamad Fernanda
negatif,Saya tidak bisa menggunakan nya ..sudah berulang kalo daftar tidak bisa karena ada peripikasi muka gagal terus aneh,1 Desember 2024,Reni Della
negatif,"Tiap mau daftar ke layanan kesehatan faskes 1 selalu ga bisa, katanya ""jaringan bermasalah"". Udah restart hp, WiFi, mode pesawat, tetep ga bisa. Terlalu banyak error-nya, terlalu banyak gangguannya. Padahal bulan2 lalu saya daftar ke faskes 1 pake app lancar-lancar saja. Padahal daftar lewat app lebih mudah & cepat, ga harus antri lama2.",21 Februari 2022,Dessy Priatna
positif,"menggunakan JKN sangat mudah bilah diperlukan secara mendadak,,",3 April 2025,Toni Dermayon
positif,"Aplikasinya sangat bermanfaat dan membantu.. Tapi kenapa harus selalu minta upadate 😥😥.. Awal bulan lalu pembayaran langsung auto debet dari rekening tapi bulan ini sampe tgl 10 belum auto terdebet,, tetap saja pembayarannya manual...",17 Januari 2020,Pengguna Google
negatif,"Aplikasi sampah, mau daftar selalu time out, masukin nomer hp ngirim balik OTP yg bayar, dan yg parahnya sudah berkali kalo masukin nomer hp tetap g bisa otomatis selalu ngirip otp yg berbayat itu, habis pulsa banyak g ada hasil, aplikasi yg menjijikan cari g ada gunanya, sangat tidak di rekomendasikan.",14 Juni 2021,Hendra Jaya Hadi Kusuma
positif,saya gak bisa masuk krna udah lebih dr 3 akun dlm perangkat saya pdhal sebelum nya saya bisa masuk walau menggunakan lebih dr 3 akun. tolong gimana solusi nya?,10 April 2025,yunita sari
negatif,"Saran sy kalau apk nya masih bnyak bug-nya dan bnyak fitur2 yg masih tdk bisa d gunakan, mending apk nya jangan d rilis dulu, makin repot sj, informasi nya bisa d akses 24 jam, lah ini,,, akses nya aja terbatas. Malah Bawa2 masalah kendala jaringan. Padahal jaringan udah stabil. Tapi pas akses masih ada code error nya. Tetap ngak bisa d akses ini...sy kira apk ini akan memberikan kemudahan, ini malah membuat org kesulitan untuk akses-nya.",2 Juni 2023,Fanni Apriani 6097
negatif,"Aplikasi bodoh tidak layak launching.. Sekelas pemerintah cuma buat aplikasi pengolah data saja banyak errornya, ditambah lagi tanpa ada solusi yang pasti.. Baru regist akun saja udah error tulisannya ""Transaksi tidak dapat diproses blablabla"".. Udah dicoba hapus data apk, ganti mobile data/wifi, tetap saja error.. Tidak dijelaskan error mengapa hanya dapat jawaban begitu, sekelas pemerintah malu2in aja, programmer pemula saja bisa buat apk pengolah data serupa tanpa adanya kendala aneh begitu..",10 November 2020,Reii Nih Boss
negatif,"Setelah diupdate kok jadi eror gini ya, uda 2 minggu dicoba, diuninstal berulang-berulang jg ttp aja eror. Berulang-ulang nyoba buka kartu peserta gak bisa, akhirnya aku uninstal berkali-kali tp pas mau login selalu muncul ""Transaksi belum dapat diproses, Silahkan coba beberapa saat lagi"" padahal jaringan aku sangat bagus. Mohon dong diperbaiki",23 November 2018,Pengguna Google
negatif,"udah instal tapi ngga bisa dibuka, aneh sampah",22 April 2025,Aji Faisal
positif,Sangat membantu jadi praktis tak perlu ngantri panjang,22 Februari 2025,Sigit Latu Wijaya (dagangan.uli)
negatif,"Aplikasi nyusahin, bukan mempermudah tapi malah membuat susah. Daftar udah masukin nomor telp, udah dikirimin nomor verifikasi. Tapi kolom masukin nomor verifikasinya gak muncul², diulang² tetep aja gak bisa. Pliss lah kalo bikin aplikasi tuh yang bener lah, jangan pilih/pake aplikasi yang murahan. Kalo gini caranya bukan mempermudah, tapi menyusahkan dan mempersulit. Ini jadinya saya gak bisa daftar², mana keperluannya mendesak banget lagi. Hadeeehhhhh......",29 Januari 2024,Enrico Risyad S
positif,"Aplikasinya bagus sebenarnya, tapi sayang lambat banget operasinya. Tiap buka satu menu, loading sangaat lama, muter2 aja. Abis itu muncul keterangannya ""transaksi tidak dapat diproses bla bla bla"" .. padahal sinyal internet udah bagus, dan gak ada masalah saat buka aplikasi yang lain (mobile banking, medsos, dll) .. kenapa yaa?? Apa programnya terlalu berat??",3 Februari 2020,Pengguna Google
negatif,"Login aplikasi sulit, butuh beberapa kali percobaan baru bisa masuk. Captcha lambat muncul padahal koneksi internet bagus. Setelah berhasil pun loading lambat. Pada menu pengaduan kolom tempat kejadian (provinsi & kota) tidak muncul pilihannya. Begitupun dengan kolom keluhan.",20 Februari 2020,Pengguna Google
negatif,"Aplikasi yg gak jelas, hal yg mudah dibuat jd sulit, mau edit data penambahan email aja susahnya minta ampun. Diminta utk memasukkan email, tp TDK ada fitur penambahan email/edit profile. Disuruh WA ke Pandawa, yg jawab mesin. Disuruh buka link tp gak ada pilihan utk memasukkan email. Bener2 app aneh..",27 September 2022,Sri Astuti
positif,"Setelah aplikasi di update, untuk mengakses menu2 semakin lemot (menurut saya bukan masalah jaringan, Krn kami pakai WiFi lancar) dan sering muncul ""transaksi tidak dapat diproses..... "" Baru diulang 2-4 kali baru bisa akses ke menu tersebut. Mohoh diperbaiki kembali aplikasi nya, terimakasih 🙏🙏",9 Maret 2020,Pengguna Google
negatif,"di test run dulu dong sebelum di launch ke publik , sepertinya banyak bug itu, mau masuk tak pernah bisa bolak balik dibilang salah username sama password, dilulang bolak balik tetap tidak bisa . Untuk isian data yang banyak seperti ini sebaiknya pakai yang web based desktop , tidak hanya mobile",18 Agustus 2020,Bambang Soendaroe
positif,"Aplikasi ringan dijalankan, Detail informasi, ada pilihan saat melakakuan pengisian, agak rumit utk perubahan2 data jadi user harus teliti pengisiannya, selebihnya bagus. Terus konsisten agar lebih mudah digunakan masyarakat. Terima kasih.",21 Januari 2023,Pengguna Google
negatif,"Pak/Bu. bagaimana sebenarnya cara kerja ini bpjs. Kemarin saya bayar di diluar(bukan pake rekenin sendiri) dengan niat saldo dalam yang dalam rekenin yang terdaftar dalam auto debit bpjs tidak di potong, tapi nyatanya tetap dipotong juga, jadi otomatislah untutk bulan ini double,dan otomatis terbayar untuk bulan depannya juga, saya cek preminya ternyata benar ada sisa saldo untuk bulan depan tapi setelah di perbaharui aplikasinya tiba tiba saldo untuk bulan depannya hilang.",16 April 2020,Pengguna Google
negatif,"Apliaksi susah banget di akses, cuma untuk daftar aja susah banget antara ""Timeout atau koneksi anda tidak stabil"" padahal udah coba pake data seluler sama WiFi yg udah di cek dan stabil jaringannya :), hampir sejam nyoba tapi ga bisa.",23 Juni 2021,Ade Syahputra Andhika
negatif,"Untuk para developer apk mobile jkn, tolong sebelum mengeluarkan update terbaru di debug dulu programnya. Pertama kali buka apps sudah muncul error msg ""transaksi blm dpt di proses dll"", gambar captcha tolong di resize / di kecilkan ukurannya (ini untuk menampilkannya lama banget padahal pakai wifi, speed stabil + cepat), trus untuk loginnya juga nda bisa (kluar error msg ""transaksi...."" trus musti isi captcha lagi). Terima kasih.",2 Desember 2019,Pengguna Google
negatif,"Ini kenapa si setiap setelah update versi jkn mobile selalu notifnya ""transaksi tidak dapat diproses"" terus. Bagaimana ini tindakannya dari pihak bpjs jika aplikasi yg ingin kita gunakan seperti ini terus, mau pakai sinyal koneksi data apalagi wifi sama aja ga bisa di akses. Mohon perbaikan sistem aplikasi ini secepatnya agar mempermudah dalam setiap proses transaksi.",2 November 2020,ryan haryansyah
positif,"Masuknya lumayan susah butuh kesabaran, setelah bisa masuk untuk melihat data dan perubahan data selalu muncul pesan error (belum dapat diproses dll) dan masih sangat lambat, saya kira jaringan saya yang bermasalah ternyata saya ganti ke data seluler dan coba pake wifi lain dengan speed 30Mbps tetap sama (masih sangat lambat) mohon ditingkatkan.",9 September 2020,idam kholid
negatif,"App tidak bisa di update ke versi terbaru (loading) trus, sehingga saya tidak bisa menggunakan aplikasi ini sesuai dgn fungsinya. Pdahal paket data dan wifi di rumah saya signal nya kuat. Tolong dong di perbaiki Jika sudah diperbaiki dan saya bisa menggunakan app dgn bail sesuai fungsi nya saya akan rubah rating bintangnya",16 Juni 2020,Susi Alfrida Siregar
negatif,"Kenapa setiap kali update, harus selalu masuk ulang??? Emang nya saat update data pengguna nya di hapus semua gitu???? Bosen dong.. Buang waktu.. Klo kita lagi pegang kartunya dll klo lagi darurat? Diupdate selalu minta data ulang, ga update ga bisa di buka.. Ya elah ribet bgttttttt. Mana capta nya juga suka ga muncul karena error... Huhhhhh",1 September 2019,Pengguna Google
negatif,"Sebenarnya fungsi aplikasi mobile untuk apa si, seris tanya setiap mau login pasti munculnya transaksi belum dapat di proses, coba beberapa saat lagi dan itu berlangsung hampir setaun, ga ada perbaikan atau gimana? aplikasi kelas pemerintah lo, masa kualitasnya begini si 😥 aplikasi lain juga ngga gini"" amat",30 Mei 2021,kusiiy 17
negatif,"Aplikasi apasi . Baru saja tak perbarui malah makin gak jelassssss Harusnya mempermudah tapi ini malah mempersulit Waktu saya mau reset password pas verifikasi nomor tlp kok eror dan keterangannya cek koneksi terus,padahal koneksi bagus dan kuota data masih ada Tolong diperbaiki sistemnya supaya mempermudah bukan malah mempersulit !!!!!!!!!",21 Januari 2022,Ngasti Rezkyani
negatif,"Faskes tidak bisa di search, dan yang ditampilkan hanya sesuai gps, lha kalau kita dikantor mau ubah faskes yang ditampilkan yg dekat dengan kantor, cari dekat rumah tidak muncul. Mohon diperbaiki lagi. Kalau sudah update, bintangnya akan update. Thanx",28 Desember 2022,Nanang WR
negatif,"sebenar nya aplikasi ini sudah siap di gunakan apa belum sih...masa iya setiap buka aplikasi gak bisa buat apa²...mau klik kartu aja muncul nya malah ""maaf transaksi belum dapat di proses...coba beberapa saat lagi"" sudah di ulangi beberapa sat mssih muncul kata² yg sama...tolong di perbaiki lgi aplikasi nya...masa iya dikit2 erorr..🤦🤦🤦",3 November 2020,Ikhsan haryadi
